ShellIndex,Degree,Betweenness,Closeness,Eigenvector
4.00000,5.00000,25146.64137,0.21799,0.00002
3.00000,3.00000,0.00000,0.18319,0.00001
8.00000,8.00000,0.00000,0.22275,0.00004
2.00000,2.00000,0.00000,0.22052,0.00001
4.00000,4.00000,0.00000,0.20626,0.00002
5.00000,5.00000,0.00000,0.21286,0.00002
2.00000,2.00000,0.00000,0.18102,0.00001
2.00000,3.00000,21361.00000,0.16240,0.00002
9.00000,29.00000,442165.56098,0.25469,0.00014
6.00000,11.00000,7837.99442,0.19981,0.00005
11.00000,29.00000,37630.38276,0.23419,0.00014
2.00000,3.00000,4642.24336,0.19993,0.00001
1.00000,1.00000,0.00000,23132.00000,0.00004
1.00000,1.00000,0.00000,0.19030,0.00000
7.00000,7.00000,0.00000,0.18354,0.00004
7.00000,20.00000,122971.47298,0.23100,0.00010
11.00000,17.00000,14781.34744,0.23290,0.00008
6.00000,6.00000,0.00000,0.21975,0.00003
5.00000,6.00000,10679.00000,0.18264,0.00003
7.00000,9.00000,42720.00000,0.22438,0.00004
12.00000,40.00000,244724.78703,0.25048,0.00020
3.00000,6.00000,10324.40711,0.19807,0.00003
1.00000,1.00000,0.00000,0.18120,0.00000
2.00000,3.00000,21361.00000,0.15628,0.00002
5.00000,5.00000,0.00000,0.16531,0.00003
5.00000,5.00000,0.00000,0.19190,0.00002
11.00000,11.00000,0.00000,0.20941,0.00005
4.00000,4.00000,0.00000,0.23215,0.00002
1.00000,1.00000,0.00000,23132.00000,0.00004
8.00000,13.00000,49796.24898,0.25748,0.00006
5.00000,5.00000,0.00000,0.17009,0.00002
6.00000,8.00000,6958.43048,0.21609,0.00004
3.00000,4.00000,7739.87984,0.18137,0.00002
7.00000,7.00000,0.00000,0.23078,0.00003
1.00000,1.00000,0.00000,0.17629,0.00001
2.00000,2.00000,0.00000,0.16483,0.00001
2.00000,4.00000,64079.00000,0.15300,0.00002
7.00000,9.00000,13999.61774,0.20173,0.00004
6.00000,6.00000,0.00000,0.25165,0.00003
7.00000,7.00000,0.00000,0.20172,0.00003
4.00000,4.00000,1066.91600,0.22847,0.00002
2.00000,2.00000,0.00000,0.16976,0.00001
4.00000,10.00000,65333.16534,0.20833,0.00005
3.00000,3.00000,0.00000,0.18360,0.00001
4.00000,4.00000,0.00000,0.19250,0.00002
1.00000,1.00000,0.00000,0.17953,0.00000
4.00000,4.00000,0.00000,0.18293,0.00002
3.00000,3.00000,0.00000,0.17759,0.00001
1.00000,1.00000,0.00000,0.22830,0.00000
2.00000,2.00000,0.00000,0.15947,0.00001
4.00000,4.00000,0.00000,0.13587,0.00002
3.00000,3.00000,0.00000,0.15268,0.00002
6.00000,6.00000,0.00000,0.22319,0.00003
4.00000,4.00000,0.00000,0.16111,0.00002
3.00000,3.00000,0.00000,0.18793,0.00001
4.00000,4.00000,0.00000,0.16111,0.00002
2.00000,3.00000,1.50000,0.20132,0.00001
6.00000,6.00000,0.00000,0.19066,0.00003
6.00000,6.00000,0.00000,0.18605,0.00003
12.00000,40.00000,251380.58846,0.24792,0.00020
5.00000,5.00000,0.00000,0.14330,0.00003
4.00000,4.00000,0.00000,0.20625,0.00002
6.00000,13.00000,37849.44727,0.23144,0.00006
7.00000,9.00000,1020.29226,0.24470,0.00004
3.00000,3.00000,0.00000,0.17643,0.00001
9.00000,9.00000,0.00000,0.22979,0.00004
4.00000,11.00000,96944.62607,0.20816,0.00005
2.00000,2.00000,0.00000,0.16503,0.00001
7.00000,16.00000,104187.77183,0.23017,0.00008
