ShellIndex,Degree,Betweenness,Closeness,Eigenvector
18.00000,27.00000,2444.89167,0.36354,0.00043
18.00000,27.00000,2512.53533,0.36160,0.00047
18.00000,25.00000,2144.11882,0.36233,0.00040
18.00000,30.00000,3079.55960,0.36913,0.00047
17.00000,17.00000,970.72973,0.34868,0.00029
14.00000,14.00000,704.88173,0.34285,0.00025
18.00000,23.00000,1834.52515,0.35761,0.00038
18.00000,28.00000,2714.42121,0.36519,0.00046
18.00000,31.00000,3148.27758,0.36940,0.00048
18.00000,25.00000,2173.63324,0.36019,0.00043
18.00000,35.00000,4227.34510,0.37265,0.00058
18.00000,20.00000,1379.66571,0.35553,0.00031
18.00000,29.00000,2959.90743,0.36728,0.00046
18.00000,31.00000,3436.17500,0.36799,0.00051
18.00000,38.00000,4910.08838,0.37636,0.00060
18.00000,25.00000,2295.30101,0.36181,0.00042
18.00000,27.00000,2511.89980,0.36045,0.00047
18.00000,21.00000,1487.92978,0.35782,0.00033
18.00000,32.00000,3550.59984,0.37066,0.00051
18.00000,29.00000,2828.54388,0.36826,0.00044
18.00000,29.00000,2830.35521,0.36777,0.00044
18.00000,30.00000,3168.91888,0.36793,0.00050
18.00000,31.00000,3226.40240,0.36989,0.00048
18.00000,36.00000,4371.38110,0.37143,0.00060
18.00000,25.00000,2059.32171,0.36165,0.00040
17.00000,20.00000,1415.94080,0.35512,0.00032
17.00000,21.00000,1541.78265,0.35517,0.00036
18.00000,31.00000,3278.37116,0.37094,0.00047
18.00000,24.00000,1944.63435,0.36040,0.00039
18.00000,31.00000,3303.85771,0.36777,0.00051
18.00000,26.00000,2303.74731,0.36212,0.00043
18.00000,27.00000,2521.38851,0.36376,0.00045
17.00000,19.00000,1217.36122,0.35252,0.00032
18.00000,26.00000,2299.42691,0.36212,0.00043
18.00000,25.00000,2202.64567,0.36024,0.00043
18.00000,20.00000,1375.04143,0.35487,0.00033
18.00000,23.00000,1787.06951,0.35731,0.00040
18.00000,21.00000,1546.79903,0.35921,0.00032
18.00000,27.00000,2450.39551,0.36344,0.00044
18.00000,30.00000,2962.71148,0.36615,0.00049
18.00000,24.00000,1934.38644,0.35998,0.00040
18.00000,25.00000,2112.21149,0.35978,0.00042
18.00000,22.00000,1587.72034,0.35802,0.00035
17.00000,19.00000,1194.07898,0.35342,0.00030
15.00000,15.00000,728.17151,0.34631,0.00025
17.00000,17.00000,989.35896,0.35227,0.00027
16.00000,17.00000,1036.21286,0.35079,0.00029
18.00000,28.00000,2579.40321,0.36535,0.00043
18.00000,24.00000,1922.41696,0.36071,0.00038
18.00000,21.00000,1509.58553,0.35746,0.00033
18.00000,19.00000,1184.83938,0.35583,0.00028
18.00000,28.00000,2590.57223,0.36445,0.00045
18.00000,20.00000,1308.06027,0.35558,0.00031
17.00000,18.00000,1157.62434,0.35327,0.00029
16.00000,17.00000,991.90454,0.34922,0.00029
18.00000,30.00000,3056.16087,0.36897,0.00047
18.00000,34.00000,4057.19242,0.37371,0.00053
18.00000,25.00000,2273.64479,0.36097,0.00042
18.00000,21.00000,1481.73958,0.35532,0.00036
17.00000,20.00000,1413.32534,0.35802,0.00030
18.00000,26.00000,2276.39447,0.36381,0.00040
18.00000,22.00000,1612.41913,0.35993,0.00033
18.00000,21.00000,1459.01403,0.35578,0.00035
18.00000,27.00000,2445.48243,0.36439,0.00044
18.00000,34.00000,3953.46228,0.37088,0.00056
17.00000,18.00000,1085.29437,0.35167,0.00030
18.00000,24.00000,1951.30904,0.36113,0.00037
18.00000,19.00000,1227.85259,0.35422,0.00030
15.00000,16.00000,890.79575,0.34607,0.00028
18.00000,28.00000,2673.45417,0.36487,0.00045
18.00000,32.00000,3508.65758,0.37017,0.00051
18.00000,21.00000,1455.78637,0.35797,0.00032
18.00000,34.00000,3983.98063,0.37204,0.00055
18.00000,21.00000,1506.17764,0.35772,0.00032
18.00000,22.00000,1677.16080,0.35905,0.00035
18.00000,23.00000,1773.61900,0.35978,0.00036
15.00000,15.00000,717.91570,0.34824,0.00023
18.00000,29.00000,2773.87127,0.36413,0.00050
18.00000,23.00000,1747.95017,0.35910,0.00036
18.00000,28.00000,2675.99538,0.36530,0.00044
18.00000,35.00000,4218.16721,0.37287,0.00057
18.00000,24.00000,1953.43952,0.35962,0.00040
18.00000,23.00000,1738.27520,0.36118,0.00035
18.00000,27.00000,2544.89006,0.36312,0.00045
18.00000,28.00000,2639.07861,0.36562,0.00044
18.00000,21.00000,1550.57679,0.35700,0.00034
18.00000,21.00000,1513.76617,0.35639,0.00034
18.00000,23.00000,1842.01748,0.36087,0.00036
18.00000,33.00000,3711.14718,0.37287,0.00050
18.00000,28.00000,2666.30593,0.36524,0.00044
18.00000,24.00000,1846.90593,0.36019,0.00038
18.00000,26.00000,2404.60013,0.36196,0.00043
18.00000,34.00000,3958.34325,0.37399,0.00052
