ShellIndex,Degree,Betweenness,Closeness,Eigenvector
10.00000,31.00000,3799.18421,0.38158,0.00053
10.00000,305.00000,222046.20866,0.51006,0.00518
10.00000,111.00000,36625.51032,0.43762,0.00188
10.00000,21.00000,1537.71814,0.36608,0.00036
10.00000,386.00000,323251.16752,0.52162,0.00656
10.00000,361.00000,291507.27776,0.52035,0.00613
10.00000,356.00000,287750.68190,0.52098,0.00605
10.00000,415.00000,353540.79520,0.52593,0.00705
10.00000,189.00000,100625.19904,0.48682,0.00321
10.00000,151.00000,64884.46565,0.46633,0.00256
10.00000,92.00000,28325.62882,0.43647,0.00156
10.00000,198.00000,105480.53887,0.48532,0.00336
10.00000,169.00000,82730.21099,0.47765,0.00287
10.00000,41.00000,6509.98192,0.40674,0.00070
10.00000,244.00000,154719.66592,0.50142,0.00414
10.00000,72.00000,19346.24401,0.42368,0.00122
10.00000,175.00000,82885.70452,0.46845,0.00297
10.00000,117.00000,44317.21528,0.45988,0.00199
10.00000,187.00000,97754.25997,0.47674,0.00318
10.00000,102.00000,32723.36951,0.43826,0.00173
10.00000,108.00000,41929.61539,0.45347,0.00183
10.00000,102.00000,36114.05455,0.44831,0.00173
10.00000,63.00000,16849.63737,0.42579,0.00107
10.00000,121.00000,43261.37889,0.46216,0.00205
10.00000,107.00000,31093.92252,0.43788,0.00182
10.00000,121.00000,47022.42780,0.45918,0.00205
10.00000,64.00000,15050.34755,0.43050,0.00109
10.00000,100.00000,34889.31939,0.45728,0.00170
10.00000,162.00000,73224.65735,0.47074,0.00275
10.00000,173.00000,79095.07352,0.47560,0.00294
10.00000,170.00000,85272.57241,0.47155,0.00289
10.00000,97.00000,32399.07835,0.43974,0.00165
10.00000,101.00000,33834.93547,0.43181,0.00172
10.00000,46.00000,8408.10327,0.40724,0.00078
10.00000,123.00000,47572.02683,0.45756,0.00209
10.00000,105.00000,34885.11350,0.43768,0.00178
10.00000,128.00000,45284.21460,0.44690,0.00217
10.00000,116.00000,38657.19512,0.44517,0.00197
10.00000,107.00000,34992.36903,0.44026,0.00182
10.00000,76.00000,18241.39713,0.42915,0.00129
10.00000,71.00000,16480.73290,0.40796,0.00121
10.00000,83.00000,25064.83529,0.43237,0.00141
10.00000,70.00000,18970.27049,0.43137,0.00119
10.00000,107.00000,36996.16090,0.43381,0.00182
10.00000,48.00000,9497.33832,0.41320,0.00082
10.00000,78.00000,20397.34430,0.43281,0.00132
10.00000,59.00000,13019.70519,0.41946,0.00100
10.00000,59.00000,11587.97949,0.40032,0.00100
10.00000,93.00000,29088.95386,0.43369,0.00158
10.00000,74.00000,17439.05097,0.42350,0.00126
10.00000,72.00000,17239.33169,0.42320,0.00122
10.00000,48.00000,8949.07792,0.41469,0.00082
10.00000,114.00000,44804.53426,0.45026,0.00194
10.00000,110.00000,41405.66459,0.44858,0.00187
10.00000,59.00000,13596.65301,0.41729,0.00100
10.00000,65.00000,17621.30391,0.42446,0.00110
10.00000,79.00000,19755.32240,0.42542,0.00134
10.00000,82.00000,21025.11768,0.42639,0.00139
10.00000,91.00000,22728.48460,0.42176,0.00155
10.00000,96.00000,28600.41460,0.43622,0.00163
10.00000,68.00000,18817.10753,0.43007,0.00115
10.00000,27.00000,3721.79898,0.39384,0.00046
10.00000,40.00000,7148.73829,0.41683,0.00068
10.00000,75.00000,23127.15999,0.44032,0.00127
10.00000,63.00000,14308.96898,0.41065,0.00107
10.00000,67.00000,15598.18903,0.40796,0.00114
10.00000,97.00000,30442.82355,0.43539,0.00165
10.00000,74.00000,15772.12640,0.41579,0.00126
10.00000,64.00000,13268.48956,0.41037,0.00109
10.00000,112.00000,37262.21608,0.43206,0.00190
10.00000,63.00000,13535.44904,0.41014,0.00107
10.00000,71.00000,15908.64243,0.41893,0.00121
10.00000,81.00000,20541.17340,0.41718,0.00138
10.00000,50.00000,9725.27402,0.41417,0.00085
10.00000,39.00000,5530.65635,0.39587,0.00066
10.00000,60.00000,12237.08654,0.40280,0.00102
10.00000,59.00000,14305.65780,0.41189,0.00100
10.00000,72.00000,19567.49307,0.41811,0.00122
10.00000,40.00000,5988.31025,0.40925,0.00068
10.00000,36.00000,6939.49449,0.41275,0.00061
10.00000,73.00000,16031.97199,0.41218,0.00124
10.00000,56.00000,11775.97170,0.41509,0.00095
10.00000,63.00000,15861.66404,0.42896,0.00107
10.00000,65.00000,14903.88570,0.40735,0.00110
10.00000,53.00000,10223.27615,0.40394,0.00090
10.00000,65.00000,15582.87217,0.41561,0.00110
10.00000,55.00000,10938.94484,0.40919,0.00093
10.00000,64.00000,13172.06470,0.40537,0.00109
10.00000,44.00000,6512.31753,0.39936,0.00075
10.00000,49.00000,7437.21102,0.39861,0.00083
10.00000,46.00000,10170.38276,0.40307,0.00078
10.00000,74.00000,18941.39491,0.41759,0.00126
10.00000,42.00000,6239.95677,0.38777,0.00071
10.00000,66.00000,15561.76282,0.40953,0.00112
10.00000,42.00000,7066.37452,0.40509,0.00071
10.00000,81.00000,20620.52067,0.41946,0.00138
10.00000,65.00000,12381.83931,0.40897,0.00110
10.00000,29.00000,3002.54915,0.39035,0.00049
10.00000,33.00000,5553.23670,0.39899,0.00056
10.00000,68.00000,16152.48097,0.42111,0.00115
10.00000,42.00000,6699.97015,0.39286,0.00071
10.00000,56.00000,12504.55100,0.41590,0.00095
10.00000,78.00000,18657.76610,0.41127,0.00132
10.00000,49.00000,9256.95269,0.40953,0.00083
10.00000,52.00000,10328.65357,0.40592,0.00088
10.00000,38.00000,5398.57291,0.38802,0.00065
10.00000,75.00000,17351.63749,0.40674,0.00127
10.00000,39.00000,4664.07721,0.38923,0.00066
10.00000,49.00000,10662.48798,0.41105,0.00083
10.00000,59.00000,11934.95825,0.40405,0.00100
10.00000,61.00000,13286.97732,0.41452,0.00104
10.00000,67.00000,14723.50402,0.40757,0.00114
10.00000,67.00000,13976.85207,0.40741,0.00114
10.00000,35.00000,3856.37527,0.38656,0.00059
10.00000,53.00000,11102.52709,0.41602,0.00090
10.00000,48.00000,8225.46729,0.40774,0.00082
10.00000,36.00000,5366.86538,0.39106,0.00061
10.00000,68.00000,14380.54123,0.40188,0.00115
10.00000,47.00000,7184.39930,0.38872,0.00080
10.00000,47.00000,7168.89270,0.39332,0.00080
10.00000,45.00000,7847.12212,0.38928,0.00076
10.00000,33.00000,4198.27939,0.38129,0.00056
10.00000,64.00000,13380.95486,0.40166,0.00109
10.00000,44.00000,6932.52200,0.39803,0.00075
10.00000,27.00000,2400.34027,0.38686,0.00046
10.00000,45.00000,7054.92182,0.38731,0.00076
10.00000,39.00000,5262.56621,0.38359,0.00066
10.00000,54.00000,8678.72113,0.38974,0.00092
10.00000,49.00000,10409.92336,0.40389,0.00083
10.00000,56.00000,10821.47888,0.40547,0.00095
10.00000,52.00000,10321.69535,0.40658,0.00088
10.00000,43.00000,6250.34256,0.38542,0.00073
10.00000,54.00000,9833.68287,0.40471,0.00092
10.00000,39.00000,7598.84236,0.41590,0.00066
10.00000,43.00000,6347.05861,0.39239,0.00073
10.00000,47.00000,7424.69554,0.40096,0.00080
10.00000,42.00000,7531.91714,0.39198,0.00071
10.00000,49.00000,9044.58343,0.40080,0.00083
10.00000,44.00000,7549.30863,0.40070,0.00075
10.00000,55.00000,9548.85800,0.40043,0.00093
10.00000,38.00000,6323.00842,0.40351,0.00065
10.00000,61.00000,11277.69554,0.39787,0.00104
10.00000,48.00000,10718.03048,0.40964,0.00082
10.00000,41.00000,6520.41859,0.40156,0.00070
10.00000,43.00000,8615.67212,0.40086,0.00073
10.00000,58.00000,10122.23662,0.39188,0.00098
10.00000,43.00000,6784.77999,0.39055,0.00073
10.00000,54.00000,10644.77217,0.39995,0.00092
10.00000,45.00000,8251.37386,0.39640,0.00076
10.00000,37.00000,4427.25087,0.37835,0.00063
10.00000,44.00000,6411.86922,0.40193,0.00075
10.00000,68.00000,14618.98994,0.40183,0.00115
10.00000,24.00000,3035.09380,0.39504,0.00041
10.00000,51.00000,9519.45207,0.39162,0.00087
10.00000,48.00000,8991.62361,0.40813,0.00082
10.00000,41.00000,7324.34515,0.39281,0.00070
