ShellIndex,Degree,Betweenness,Closeness,Eigenvector
1.00000,1.00000,0.00000,0.19279,0.00000
3.00000,3.00000,0.00000,0.18629,0.00001
4.00000,4.00000,293.45302,0.23705,0.00002
6.00000,6.00000,553.86888,0.25917,0.00002
2.00000,2.00000,0.00000,0.19039,0.00001
25.00000,62.00000,19916.53146,0.24308,0.00026
1.00000,1.00000,0.00000,0.16384,0.00001
1.00000,1.00000,0.00000,0.18760,0.00000
9.00000,11.00000,2811.60946,0.26891,0.00004
3.00000,3.00000,0.00000,0.22249,0.00001
20.00000,20.00000,0.00000,0.16244,0.00009
5.00000,10.00000,62031.30230,0.22758,0.00004
5.00000,9.00000,20264.15371,0.23192,0.00004
6.00000,8.00000,976.68140,0.21501,0.00003
3.00000,3.00000,0.00000,0.21589,0.00001
1.00000,1.00000,0.00000,0.24700,0.00000
2.00000,2.00000,0.00000,0.20497,0.00001
3.00000,3.00000,0.00000,0.23442,0.00001
1.00000,1.00000,0.00000,0.23107,0.00000
2.00000,2.00000,0.00000,6003.50000,0.00008
2.00000,2.00000,0.00000,6003.50000,0.00008
7.00000,7.00000,150.65863,0.27363,0.00003
17.00000,18.00000,373.05313,0.25788,0.00007
1.00000,1.00000,0.00000,0.20334,0.00000
2.00000,2.00000,0.00000,0.21570,0.00001
7.00000,18.00000,119619.22235,0.26926,0.00007
54.00000,119.00000,40907.04599,0.29374,0.00046
51.00000,52.00000,161.26391,0.25517,0.00019
13.00000,13.00000,0.00000,0.25671,0.00005
3.00000,4.00000,854.68609,0.23305,0.00002
12.00000,15.00000,18765.87033,0.24782,0.00006
13.00000,43.00000,410192.51217,0.28235,0.00017
1.00000,1.00000,0.00000,12007.00000,0.00008
8.00000,23.00000,140980.28256,0.25729,0.00009
8.00000,19.00000,59561.12428,0.26405,0.00007
1.00000,1.00000,0.00000,0.20619,0.00000
2.00000,5.00000,294.82911,0.20132,0.00002
3.00000,7.00000,6864.05403,0.21267,0.00003
10.00000,20.00000,50142.74489,0.28778,0.00008
32.00000,60.00000,87757.65789,0.30650,0.00023
3.00000,5.00000,18924.79950,0.21718,0.00002
2.00000,2.00000,0.00000,0.16168,0.00001
42.00000,61.00000,4803.15750,0.29687,0.00024
4.00000,5.00000,11202.00000,0.22055,0.00002
6.00000,8.00000,1651.91287,0.26539,0.00003
4.00000,4.00000,2396.46703,0.26245,0.00002
6.00000,6.00000,0.00000,0.22831,0.00002
11.00000,12.00000,1923.09875,0.23372,0.00005
63.00000,108.00000,309026.75415,0.31122,0.00042
3.00000,4.00000,1981.09886,0.22339,0.00002
14.00000,22.00000,1284.00648,0.23827,0.00009
1.00000,1.00000,0.00000,1334.11111,0.00002
3.00000,3.00000,464.79568,0.24061,0.00001
2.00000,2.00000,0.00000,0.21100,0.00001
6.00000,6.00000,1040.61954,0.24007,0.00002
3.00000,3.00000,1042.66238,0.21691,0.00001
3.00000,3.00000,0.00000,0.22850,0.00001
3.00000,10.00000,78390.00000,0.19823,0.00004
7.00000,15.00000,32649.60770,0.25435,0.00006
3.00000,4.00000,23.33892,0.22850,0.00002
8.00000,13.00000,2112.19396,0.22108,0.00005
3.00000,3.00000,0.00000,0.26178,0.00001
3.00000,3.00000,0.00000,0.21432,0.00001
5.00000,7.00000,260.07892,0.26631,0.00003
3.00000,3.00000,0.00000,0.25400,0.00001
1.00000,1.00000,0.00000,0.20951,0.00000
10.00000,22.00000,39373.12815,0.27112,0.00009
8.00000,8.00000,0.00000,0.23745,0.00003
2.00000,3.00000,0.00000,0.19746,0.00001
5.00000,11.00000,38432.97518,0.22387,0.00004
3.00000,3.00000,0.00000,0.18581,0.00001
31.00000,31.00000,0.00000,0.25326,0.00012
4.00000,4.00000,0.00000,500.29167,0.00006
2.00000,2.00000,0.00000,0.23760,0.00001
7.00000,7.00000,0.00000,0.23349,0.00003
1.00000,1.00000,0.00000,0.22778,0.00000
31.00000,33.00000,501.08570,0.19273,0.00013
1.00000,1.00000,0.00000,0.21596,0.00000
2.00000,2.00000,46.35254,0.21292,0.00001
92.00000,149.00000,541821.11898,0.30530,0.00058
2.00000,2.00000,0.00000,0.26194,0.00001
38.00000,61.00000,19129.76037,0.29784,0.00024
3.00000,3.00000,0.00000,0.19429,0.00001
2.00000,2.00000,0.00000,0.23573,0.00001
1.00000,1.00000,0.00000,0.19740,0.00000
3.00000,5.00000,59397.61349,0.19232,0.00004
1.00000,1.00000,0.00000,12007.00000,0.00008
1.00000,2.00000,1.00000,6003.50000,0.00008
90.00000,110.00000,110999.36004,0.30551,0.00043
38.00000,38.00000,0.00000,0.26423,0.00015
1.00000,1.00000,0.00000,0.23107,0.00000
3.00000,3.00000,0.00000,0.18254,0.00001
3.00000,3.00000,0.00000,0.22644,0.00001
8.00000,8.00000,0.00000,0.19339,0.00005
2.00000,2.00000,0.00000,0.25173,0.00001
69.00000,89.00000,2388.22883,0.29280,0.00035
2.00000,2.00000,0.00000,0.21071,0.00001
4.00000,6.00000,307.71551,0.20306,0.00002
2.00000,3.00000,0.50000,0.18431,0.00001
1.00000,1.00000,0.00000,12007.00000,0.00008
1.00000,1.00000,0.00000,0.23107,0.00000
1.00000,1.00000,0.00000,0.22483,0.00000
2.00000,2.00000,0.00000,0.23745,0.00001
4.00000,4.00000,0.00000,0.24271,0.00002
7.00000,20.00000,43525.35225,0.25649,0.00008
2.00000,2.00000,1864.59566,0.21918,0.00001
7.00000,9.00000,3890.28614,0.26743,0.00004
5.00000,6.00000,72.84835,0.21152,0.00002
1.00000,1.00000,0.00000,0.22968,0.00000
2.00000,2.00000,1089.89718,0.26622,0.00001
6.00000,16.00000,59737.98102,0.24269,0.00006
1.00000,1.00000,0.00000,0.23107,0.00000
3.00000,3.00000,0.00000,4002.33333,0.00008
3.00000,3.00000,0.00000,0.19803,0.00001
28.00000,28.00000,0.00000,0.28241,0.00011
5.00000,5.00000,0.00000,0.19606,0.00002
2.00000,2.00000,0.00000,0.20334,0.00001
6.00000,13.00000,26527.80675,0.23682,0.00005
3.00000,3.00000,0.00000,0.20985,0.00001
2.00000,2.00000,0.00000,0.20254,0.00001
6.00000,14.00000,37981.12219,0.24268,0.00005
2.00000,2.00000,0.00000,0.21535,0.00001
51.00000,52.00000,161.26391,0.25517,0.00019
1.00000,1.00000,0.00000,0.25753,0.00000
3.00000,3.00000,0.00000,0.18546,0.00001
25.00000,30.00000,5076.47517,0.29488,0.00012
18.00000,29.00000,53992.04241,0.24921,0.00011
4.00000,5.00000,5243.27433,0.22065,0.00002
3.00000,3.00000,418.68687,0.22388,0.00001
4.00000,8.00000,30925.55672,0.22707,0.00003
7.00000,7.00000,369.71160,0.24184,0.00003
4.00000,4.00000,2400.47776,0.22198,0.00002
13.00000,13.00000,0.00000,0.24530,0.00005
6.00000,7.00000,3049.21695,0.26754,0.00003
2.00000,2.00000,0.00000,0.22548,0.00001
238.00000,247.00000,49610.71983,0.32446,0.00096
92.00000,92.00000,0.00000,0.29849,0.00036
15.00000,18.00000,344.07129,0.28436,0.00007
2.00000,2.00000,0.00000,0.18038,0.00001
2.00000,2.00000,0.00000,0.20087,0.00001
5.00000,10.00000,18787.50783,0.26034,0.00004
10.00000,24.00000,71222.92659,0.27427,0.00009
2.00000,2.00000,0.00000,0.20276,0.00001
2.00000,2.00000,0.00000,0.25558,0.00001
3.00000,3.00000,0.00000,0.23721,0.00001
3.00000,3.00000,0.00000,1091.54545,0.00007
38.00000,86.00000,84432.31135,0.31182,0.00033
7.00000,13.00000,8426.14094,0.25106,0.00005
2.00000,2.00000,0.00000,0.21287,0.00001
18.00000,18.00000,0.00000,0.27489,0.00007
5.00000,5.00000,0.00000,0.22890,0.00002
3.00000,3.00000,787.59979,0.22904,0.00001
3.00000,3.00000,0.00000,0.25214,0.00001
1.00000,1.00000,0.00000,0.17174,0.00000
3.00000,3.00000,0.00000,0.23395,0.00001
5.00000,8.00000,18595.24489,0.23354,0.00003
4.00000,5.00000,5610.88345,0.22316,0.00002
4.00000,4.00000,0.00000,0.24087,0.00002
2.00000,2.00000,0.00000,0.17388,0.00001
2.00000,2.00000,0.00000,3001.75000,0.00008
25.00000,62.00000,19916.53146,0.24308,0.00026
8.00000,9.00000,1434.96336,0.27308,0.00004
25.00000,25.00000,0.00000,0.22638,0.00010
8.00000,8.00000,0.00000,0.25791,0.00003
3.00000,3.00000,0.00000,0.25168,0.00001
3.00000,3.00000,0.00000,0.18599,0.00001
2.00000,2.00000,0.00000,0.17060,0.00001
7.00000,12.00000,14397.34386,0.24255,0.00005
4.00000,4.00000,0.00000,0.21621,0.00001
4.00000,5.00000,4516.35924,0.22720,0.00002
1.00000,1.00000,0.00000,12007.00000,0.00008
1.00000,1.00000,0.00000,12007.00000,0.00008
7.00000,10.00000,23459.92898,0.26817,0.00004
1.00000,1.00000,0.00000,4002.33333,0.00008
1.00000,1.00000,0.00000,0.16787,0.00000
1.00000,1.00000,0.00000,0.24369,0.00000
4.00000,5.00000,1482.32951,0.26472,0.00002
3.00000,5.00000,12782.90348,0.19824,0.00002
8.00000,15.00000,115398.92613,0.27915,0.00006
3.00000,4.00000,557.94500,0.23596,0.00002
25.00000,32.00000,3340.16603,0.24208,0.00013
19.00000,19.00000,0.00000,0.21464,0.00008
3.00000,6.00000,24666.15452,0.19070,0.00002
1.00000,1.00000,0.00000,0.19153,0.00000
5.00000,5.00000,876.69698,0.23839,0.00002
2.00000,2.00000,0.00000,0.22924,0.00001
2.00000,2.00000,0.00000,0.18611,0.00001
5.00000,5.00000,0.00000,0.22886,0.00002
18.00000,33.00000,215394.08644,0.29085,0.00013
1.00000,1.00000,0.00000,0.23410,0.00000
3.00000,3.00000,0.00000,0.19200,0.00001
2.00000,2.00000,0.00000,3001.75000,0.00008
5.00000,9.00000,13027.33731,0.26025,0.00003
10.00000,32.00000,234377.62580,0.26192,0.00013
8.00000,8.00000,0.00000,0.25002,0.00003
6.00000,6.00000,0.00000,0.22685,0.00002
46.00000,46.00000,0.00000,0.27001,0.00018
1.00000,1.00000,0.00000,0.15587,0.00000
1.00000,1.00000,0.00000,0.16064,0.00000
5.00000,13.00000,87189.68746,0.25893,0.00005
5.00000,5.00000,1027.77172,0.22913,0.00002
4.00000,4.00000,1715.00732,0.21937,0.00002
3.00000,3.00000,0.00000,0.17899,0.00001
1.00000,1.00000,0.00000,12007.00000,0.00008
3.00000,4.00000,2.09091,0.21430,0.00002
3.00000,3.00000,0.00000,0.22495,0.00001
1.00000,1.00000,0.00000,0.18006,0.00000
37.00000,46.00000,330.01772,0.26018,0.00018
92.00000,173.00000,109340.87984,0.31107,0.00067
19.00000,65.00000,134870.52889,0.27416,0.00025
3.00000,3.00000,5324.56484,0.23951,0.00001
1.00000,1.00000,0.00000,12007.00000,0.00008
1.00000,1.00000,0.00000,0.15394,0.00000
92.00000,92.00000,0.00000,0.29849,0.00036
2.00000,2.00000,0.00000,0.20213,0.00001
2.00000,2.00000,0.00000,0.24081,0.00001
1.00000,1.00000,0.00000,0.16783,0.00000
2.00000,2.00000,0.00000,0.22669,0.00001
11.00000,11.00000,0.00000,0.27279,0.00004
17.00000,17.00000,0.00000,0.25923,0.00007
27.00000,31.00000,4258.93271,0.20936,0.00013
238.00000,305.00000,84172.34822,0.33167,0.00118
43.00000,43.00000,0.00000,0.28819,0.00017
1.00000,1.00000,0.00000,0.18705,0.00000
2.00000,2.00000,0.00000,0.17118,0.00001
4.00000,14.00000,29340.07608,0.22026,0.00006
46.00000,46.00000,0.00000,0.27001,0.00018
1.00000,1.00000,0.00000,12007.00000,0.00008
1.00000,1.00000,0.00000,0.23628,0.00000
238.00000,287.00000,167998.21314,0.32609,0.00111
26.00000,50.00000,25238.67117,0.30273,0.00019
4.00000,10.00000,49773.27942,0.21136,0.00004
2.00000,2.00000,0.00000,0.17655,0.00001
238.00000,291.00000,44497.80810,0.32637,0.00113
3.00000,5.00000,19948.55987,0.21055,0.00002
31.00000,31.00000,0.00000,0.22342,0.00013
39.00000,39.00000,0.00000,0.28102,0.00015
4.00000,9.00000,42475.15967,0.25989,0.00004
7.00000,11.00000,24098.64366,0.26373,0.00004
11.00000,11.00000,0.00000,0.23334,0.00004
2.00000,2.00000,0.00000,0.20894,0.00001
3.00000,3.00000,0.00000,0.17361,0.00001
4.00000,4.00000,0.00000,0.17208,0.00002
3.00000,3.00000,0.00000,0.20827,0.00001
5.00000,10.00000,49017.44404,0.20802,0.00004
5.00000,6.00000,221.66560,0.23115,0.00002
21.00000,21.00000,0.00000,0.22021,0.00008
4.00000,6.00000,1219.45002,0.22112,0.00002
63.00000,63.00000,0.00000,0.29495,0.00024
3.00000,3.00000,0.00000,0.22763,0.00001
3.00000,3.00000,0.00000,0.17431,0.00001
2.00000,4.00000,33600.00000,0.22585,0.00002
9.00000,17.00000,61293.36464,0.24865,0.00007
2.00000,5.00000,36193.41222,0.21549,0.00002
2.00000,2.00000,0.00000,0.22699,0.00001
7.00000,12.00000,32972.54402,0.26477,0.00005
1.00000,1.00000,0.00000,0.19279,0.00000
6.00000,6.00000,0.00000,0.19536,0.00003
31.00000,31.00000,0.00000,0.19273,0.00012
5.00000,10.00000,24890.73994,0.23095,0.00004
2.00000,2.00000,0.00000,0.19270,0.00001
6.00000,8.00000,4165.97910,0.22408,0.00003
238.00000,350.00000,135092.48388,0.34115,0.00136
4.00000,4.00000,105.72441,0.24533,0.00002
238.00000,238.00000,0.00000,0.32240,0.00092
31.00000,31.00000,0.00000,0.19273,0.00012
2.00000,2.00000,0.00000,0.22913,0.00001
6.00000,6.00000,0.00000,0.21453,0.00002
3.00000,3.00000,0.00000,0.24418,0.00001
1.00000,1.00000,0.00000,0.23107,0.00000
9.00000,34.00000,175573.97940,0.28705,0.00013
2.00000,2.00000,0.00000,0.23325,0.00001
11.00000,11.00000,0.00000,0.23334,0.00004
3.00000,3.00000,0.00000,0.24300,0.00001
5.00000,7.00000,7465.33333,0.15924,0.00004
2.00000,2.00000,0.00000,0.21426,0.00001
1.00000,1.00000,0.00000,0.18620,0.00000
2.00000,2.00000,0.00000,0.21428,0.00001
2.00000,3.00000,11202.00000,0.20279,0.00001
2.00000,2.00000,0.00000,0.16471,0.00001
4.00000,4.00000,0.00000,0.25196,0.00002
238.00000,482.00000,400027.31279,0.34700,0.00187
3.00000,3.00000,0.00000,0.20373,0.00001
2.00000,2.00000,0.00000,0.21297,0.00001
9.00000,15.00000,22219.67205,0.25501,0.00006
2.00000,2.00000,0.00000,0.24245,0.00001
3.00000,3.00000,0.00000,0.19673,0.00001
1.00000,1.00000,0.00000,12007.00000,0.00008
2.00000,2.00000,0.00000,0.22769,0.00001
6.00000,8.00000,9751.32692,0.24460,0.00003
77.00000,77.00000,0.00000,0.29890,0.00030
6.00000,7.00000,3329.80058,0.22570,0.00003
5.00000,6.00000,2315.69145,0.25412,0.00002
4.00000,6.00000,5138.31586,0.20848,0.00002
1.00000,1.00000,0.00000,0.17889,0.00000
4.00000,4.00000,105.84842,0.23504,0.00002
1.00000,1.00000,0.00000,12007.00000,0.00008
15.00000,35.00000,83128.03599,0.28384,0.00014
1.00000,1.00000,0.00000,0.22115,0.00000
3.00000,4.00000,1117.41436,0.22932,0.00002
2.00000,2.00000,0.00000,0.17402,0.00001
1.00000,1.00000,0.00000,0.20591,0.00000
37.00000,46.00000,330.01772,0.26018,0.00018
3.00000,3.00000,0.00000,0.25362,0.00001
6.00000,8.00000,7728.55570,0.22307,0.00003
1.00000,1.00000,0.00000,0.20362,0.00000
238.00000,249.00000,26554.89172,0.32553,0.00096
