ShellIndex,Degree,Betweenness,Closeness,Eigenvector
55.00000,73.00000,1353.27719,0.47762,0.00031
55.00000,60.00000,893.20754,0.46367,0.00025
55.00000,63.00000,1004.42932,0.46446,0.00027
55.00000,77.00000,1433.87819,0.48528,0.00031
55.00000,67.00000,1222.19662,0.47043,0.00029
55.00000,71.00000,1324.86265,0.47065,0.00032
55.00000,69.00000,1215.84675,0.47110,0.00030
55.00000,66.00000,1111.59071,0.47325,0.00028
55.00000,87.00000,1967.53194,0.48410,0.00038
55.00000,76.00000,1432.79460,0.48379,0.00032
55.00000,89.00000,2148.77685,0.48614,0.00039
55.00000,75.00000,1456.15117,0.47755,0.00032
55.00000,85.00000,2015.89985,0.47976,0.00039
55.00000,80.00000,1639.20411,0.48061,0.00035
55.00000,66.00000,1176.60400,0.46786,0.00029
55.00000,73.00000,1400.12120,0.47213,0.00032
55.00000,85.00000,1874.71421,0.47846,0.00037
55.00000,75.00000,1437.36202,0.48146,0.00032
55.00000,81.00000,1765.43541,0.47740,0.00037
55.00000,62.00000,930.01514,0.46721,0.00026
54.00000,56.00000,866.52139,0.45030,0.00026
55.00000,63.00000,1040.20539,0.46655,0.00028
55.00000,74.00000,1455.86177,0.47558,0.00032
55.00000,77.00000,1632.33229,0.47213,0.00035
55.00000,72.00000,1359.55368,0.47199,0.00031
55.00000,71.00000,1419.11848,0.46699,0.00033
55.00000,78.00000,1612.39248,0.48169,0.00033
55.00000,79.00000,1674.37217,0.48231,0.00034
55.00000,80.00000,1607.52200,0.47907,0.00034
55.00000,57.00000,832.29189,0.45654,0.00024
55.00000,86.00000,1885.13698,0.48559,0.00037
55.00000,82.00000,1749.19286,0.48426,0.00035
55.00000,62.00000,1076.04602,0.46525,0.00028
55.00000,78.00000,1588.79080,0.47976,0.00034
55.00000,61.00000,979.04998,0.46496,0.00026
55.00000,73.00000,1440.78658,0.47603,0.00032
55.00000,78.00000,1638.01142,0.47649,0.00034
55.00000,73.00000,1466.77102,0.47176,0.00033
55.00000,76.00000,1580.41206,0.47251,0.00034
52.00000,52.00000,717.63028,0.44815,0.00023
55.00000,69.00000,1246.06285,0.46889,0.00030
55.00000,76.00000,1454.88219,0.47671,0.00033
55.00000,77.00000,1564.64151,0.48022,0.00034
55.00000,69.00000,1204.78749,0.47028,0.00029
55.00000,80.00000,1696.96626,0.48449,0.00034
55.00000,68.00000,1117.61909,0.47014,0.00028
55.00000,64.00000,1058.00627,0.46489,0.00028
55.00000,65.00000,1131.77428,0.46918,0.00028
54.00000,55.00000,771.82479,0.45926,0.00023
55.00000,71.00000,1344.79591,0.47110,0.00032
54.00000,57.00000,861.29957,0.45571,0.00025
55.00000,62.00000,967.30062,0.47363,0.00025
55.00000,67.00000,1148.19156,0.47213,0.00028
54.00000,56.00000,788.57413,0.45926,0.00024
55.00000,67.00000,1179.49104,0.47006,0.00029
55.00000,68.00000,1234.71344,0.46699,0.00030
55.00000,65.00000,1117.22714,0.46231,0.00029
55.00000,65.00000,1125.41153,0.46539,0.00029
55.00000,76.00000,1449.38973,0.47992,0.00032
55.00000,70.00000,1253.92910,0.47199,0.00030
55.00000,79.00000,1675.99585,0.48239,0.00034
55.00000,75.00000,1470.06388,0.47393,0.00033
55.00000,70.00000,1182.98201,0.47664,0.00029
55.00000,62.00000,982.20543,0.46605,0.00026
55.00000,64.00000,1103.91556,0.46238,0.00028
54.00000,54.00000,756.13490,0.45737,0.00023
52.00000,52.00000,638.63787,0.45716,0.00021
54.00000,61.00000,1016.67930,0.45716,0.00028
55.00000,68.00000,1163.12457,0.47393,0.00029
