ShellIndex,Degree,Betweenness,Closeness,Eigenvector
1.00000,1.00000,0.00000,0.25093,0.00000
10.00000,70.00000,1273081.00249,0.32606,0.00018
1.00000,1.00000,0.00000,0.25093,0.00000
4.00000,5.00000,904.30766,0.27970,0.00001
6.00000,8.00000,2732.89510,0.30003,0.00002
34.00000,62.00000,4856442.39310,0.38779,0.00016
7.00000,9.00000,15102.90760,0.30705,0.00002
10.00000,14.00000,35013.44579,0.31777,0.00004
1.00000,1.00000,0.00000,0.25093,0.00000
18.00000,39.00000,4628311.40568,0.36031,0.00010
4.00000,4.00000,0.00000,0.25591,0.00001
4.00000,5.00000,2695.59324,0.28921,0.00001
4.00000,5.00000,2695.59324,0.28921,0.00001
10.00000,15.00000,22765.81116,0.31112,0.00004
1.00000,1.00000,0.00000,0.25093,0.00000
6.00000,6.00000,12639.57028,0.29479,0.00002
5.00000,5.00000,6123.00216,0.29457,0.00001
1.00000,1.00000,0.00000,0.25093,0.00000
4.00000,5.00000,28506.59265,0.30202,0.00001
3.00000,3.00000,1527.44560,0.25200,0.00001
1.00000,1.00000,0.00000,0.25093,0.00000
3.00000,4.00000,1360.04170,0.29188,0.00001
1.00000,1.00000,0.00000,0.25093,0.00000
1.00000,1.00000,0.00000,0.25093,0.00000
1.00000,1.00000,0.00000,0.25093,0.00000
2.00000,2.00000,539.02529,0.28849,0.00001
1.00000,1.00000,0.00000,0.25093,0.00000
40.00000,78.00000,4496247.67138,0.38932,0.00020
1.00000,1.00000,0.00000,0.25093,0.00000
1.00000,1.00000,0.00000,0.25093,0.00000
2.00000,2.00000,8289.78235,0.25153,0.00001
3.00000,3.00000,1527.44560,0.25200,0.00001
2.00000,2.00000,8289.78235,0.25153,0.00001
1.00000,1.00000,0.00000,0.25093,0.00000
1.00000,1.00000,0.00000,0.25093,0.00000
3.00000,3.00000,110669.81952,0.27758,0.00001
1.00000,1.00000,0.00000,0.25093,0.00000
1.00000,1.00000,0.00000,0.25093,0.00000
1.00000,1.00000,0.00000,0.25093,0.00000
9.00000,18.00000,280767.35714,0.31550,0.00005
1.00000,1.00000,0.00000,0.25093,0.00000
3.00000,3.00000,110669.81952,0.27758,0.00001
4.00000,4.00000,13116.60360,0.29530,0.00001
1.00000,1.00000,0.00000,0.25093,0.00000
7.00000,10.00000,86037.10815,0.29756,0.00003
14.00000,25.00000,846997.23434,0.32130,0.00006
38.00000,112.00000,20618684.65469,0.41279,0.00028
1.00000,1.00000,0.00000,0.25093,0.00000
1.00000,1.00000,0.00000,0.25093,0.00000
9.00000,10.00000,2433.71101,0.30679,0.00003
9.00000,11.00000,2848.38895,0.30361,0.00003
6.00000,7.00000,40910.42088,0.30922,0.00002
3.00000,3.00000,110669.81952,0.27758,0.00001
38.00000,111.00000,939307.06183,0.35897,0.00028
38.00000,102.00000,990470.01970,0.35808,0.00026
10.00000,16.00000,40144.85659,0.30755,0.00004
43.00000,309.00000,5111666.96521,0.38593,0.00078
1.00000,1.00000,0.00000,0.25093,0.00000
2.00000,2.00000,8289.78235,0.25153,0.00001
8.00000,11.00000,137679.65672,0.29942,0.00003
7.00000,12.00000,706350.67128,0.32566,0.00003
1.00000,1.00000,0.00000,0.25093,0.00000
9.00000,12.00000,193377.47333,0.31162,0.00003
1.00000,1.00000,0.00000,0.25093,0.00000
1.00000,1.00000,0.00000,0.25093,0.00000
3.00000,4.00000,46057.58536,0.26668,0.00001
1.00000,1.00000,0.00000,0.25093,0.00000
1.00000,1.00000,0.00000,0.25093,0.00000
1.00000,1.00000,0.00000,0.25093,0.00000
6.00000,6.00000,149480.61260,0.31249,0.00002
2.00000,2.00000,623.57868,0.25809,0.00001
1.00000,1.00000,0.00000,0.28265,0.00000
43.00000,377.00000,2837131.74979,0.38173,0.00095
40.00000,127.00000,1059446.81479,0.37150,0.00032
43.00000,293.00000,3701855.96599,0.38835,0.00074
43.00000,232.00000,1285421.21365,0.37048,0.00058
43.00000,815.00000,13506564.34277,0.42045,0.00205
4.00000,4.00000,402.36127,0.30270,0.00001
43.00000,339.00000,5342832.73469,0.39443,0.00085
37.00000,119.00000,1111035.96927,0.35736,0.00030
41.00000,271.00000,4473383.85915,0.35714,0.00068
38.00000,120.00000,1610914.31481,0.36689,0.00030
35.00000,212.00000,3161278.15630,0.35172,0.00053
43.00000,201.00000,1603566.62159,0.38055,0.00051
29.00000,48.00000,41174.39114,0.33315,0.00012
21.00000,32.00000,240025.28300,0.32120,0.00008
38.00000,125.00000,885411.74163,0.35338,0.00031
29.00000,44.00000,70755.46592,0.33098,0.00011
43.00000,284.00000,2358064.31361,0.39043,0.00071
43.00000,247.00000,3148803.95219,0.36955,0.00062
42.00000,366.00000,5646990.45435,0.37072,0.00092
38.00000,172.00000,2593102.62995,0.35121,0.00043
36.00000,69.00000,747240.86781,0.34284,0.00017
43.00000,455.00000,5132042.84674,0.38923,0.00115
8.00000,8.00000,24173.62614,0.31256,0.00002
43.00000,597.00000,10608124.22473,0.38312,0.00151
15.00000,16.00000,1151.70778,0.30953,0.00004
34.00000,44.00000,87595.10313,0.34305,0.00011
2.00000,2.00000,719.26792,0.27148,0.00001
16.00000,22.00000,13478.56001,0.30587,0.00006
4.00000,4.00000,0.00000,0.28607,0.00001
31.00000,86.00000,1184975.45746,0.33878,0.00022
40.00000,203.00000,4482625.00865,0.37445,0.00051
1.00000,1.00000,0.00000,0.26947,0.00000
2.00000,2.00000,2482.39967,0.27684,0.00001
2.00000,2.00000,0.00000,0.26947,0.00001
43.00000,422.00000,5738721.56115,0.39388,0.00106
43.00000,234.00000,2701962.65990,0.37130,0.00059
19.00000,21.00000,24047.74511,0.32378,0.00005
42.00000,339.00000,2383181.04383,0.36364,0.00085
4.00000,4.00000,0.00000,0.30700,0.00001
43.00000,175.00000,806519.23905,0.35940,0.00044
30.00000,54.00000,151257.98419,0.33944,0.00014
24.00000,34.00000,56571.86094,0.32970,0.00009
38.00000,285.00000,5485167.34747,0.35767,0.00072
38.00000,126.00000,273342.29655,0.34394,0.00032
43.00000,229.00000,637454.95597,0.36211,0.00058
